Date,Close
2025-11-27 16:02:01,1178594
2025-11-27 16:04:16,1178594
2025-11-27 16:06:29,1187446
2025-11-27 16:08:42,1187446
2025-11-27 16:10:54,1165299
2025-11-27 16:13:06,1178594
2025-11-27 16:15:17,1165299
2025-11-27 16:17:39,1161424
2025-11-27 16:19:52,1161424
2025-11-27 16:22:07,1161424
2025-11-27 16:24:20,1156058
2025-11-27 16:26:39,1155890
2025-11-27 16:28:51,1155890
2025-11-27 16:31:01,1155890
2025-11-27 16:33:13,1150743
2025-11-27 16:35:34,1150743
2025-11-27 16:37:44,1155890
2025-11-27 16:39:51,1155890
2025-11-27 16:42:13,1150510
2025-11-27 16:44:27,1150510
2025-11-27 16:46:38,1150510
2025-11-27 16:48:47,1150510
2025-11-27 16:50:57,1150510
2025-11-27 16:53:07,1150510
2025-11-27 16:55:16,1150510
2025-11-27 16:57:31,1152072
2025-11-27 16:59:44,1152072
2025-11-27 17:02:07,1152072
2025-11-27 17:04:17,1152072
2025-11-27 17:06:27,1152072
2025-11-27 17:08:36,1152072
2025-11-27 17:10:43,1152072
2025-11-27 17:12:52,1152072
2025-11-27 17:15:00,1157167
2025-11-27 17:17:21,1157167
2025-11-27 17:19:36,1159140
2025-11-27 17:21:45,1159140
2025-11-27 17:24:01,1161208
2025-11-27 17:26:14,1161208
2025-11-27 17:28:24,1157167
2025-11-27 17:30:38,1160678
2025-11-27 17:33:09,1160678
2025-11-27 17:35:20,1160678
2025-11-27 17:37:29,1160678
2025-11-27 17:39:39,1160678
2025-11-27 17:41:48,1160678
2025-11-27 17:43:58,1160678
2025-11-27 17:46:06,1164336
2025-11-27 17:48:18,1164336
2025-11-27 17:50:27,1164336
2025-11-27 17:52:36,1164336
2025-11-27 17:54:46,1164336
2025-11-27 17:56:53,1164336
2025-11-27 17:59:02,1159023
2025-11-27 18:01:18,1159023
2025-11-27 18:03:28,1159023
2025-11-27 18:05:36,1159023
2025-11-27 18:07:45,1159023
2025-11-27 18:09:53,1159023
2025-11-27 18:12:00,1159023
2025-11-27 18:14:09,1169111
2025-11-27 18:16:21,1169111
2025-11-27 18:18:35,1169111
2025-11-27 18:20:46,1169111
2025-11-27 18:22:55,1169111
